Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Pierre Ekwah Elimby,Saint-Étienne,Ligue 1,Midfielder,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.06,0.03,0.06,20,146,21
Mikael Ellertsson,Venezia,Serie A,Defender,0.07,0.07,0.15,0.07,0.15,0.04,0.06,0.1,0.04,0.1,33,36,92
Elif Elmas,Torino,Serie A,Attacker,0.35,0.0,0.35,0.35,0.35,0.12,0.04,0.16,0.12,0.16,42,34,58
Aritz Elustondo,Real Sociedad,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,17,51,4
Nico Elvedi,Gladbach,Bundesliga,Defender,0.04,0.04,0.08,0.04,0.08,0.09,0.02,0.1,0.09,0.1,20,55,5
Adri Embarba,Rayo Vallecano,La Liga,Attacker,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27,47,45,114
Breel Embolo,Monaco,Ligue 1,Attacker,0.29,0.2,0.49,0.29,0.49,0.53,0.28,0.8,0.53,0.8,22,55,140
Emanuel Emegha,Strasbourg,Ligue 1,Attacker,0.55,0.12,0.67,0.55,0.67,0.67,0.1,0.76,0.67,0.76,37,14,104
Emerson,Milan,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,23,68,71
Yannik Engelhardt,Como,Serie A,Midfielder,0.08,0.08,0.15,0.08,0.15,0.04,0.11,0.16,0.04,0.16,18,54,18
Christian Eriksen,Manchester Utd,Premier League,Midfielder,0.08,0.17,0.25,0.0,0.17,0.12,0.27,0.39,0.05,0.32,13,55,29
Sebastiano Esposito,Empoli,Serie A,Attacker,0.31,0.0,0.31,0.27,0.27,0.22,0.08,0.3,0.16,0.24,31,93,106
Samuel Essende,Augsburg,Bundesliga,Attacker,0.39,0.11,0.5,0.39,0.5,0.23,0.07,0.3,0.23,0.3,33,21,118
Dario Essugo,Las Palmas,La Liga,Midfielder,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,18,76,8
