Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Amadou Koné,Reims,Ligue 1,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,19,68,12
Teun Koopmeiners,Juventus,Serie A,Midfielder,0.14,0.14,0.27,0.14,0.27,0.17,0.13,0.3,0.17,0.3,32,89,127
Odilon Kossounou,Atalanta,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,13,46,14
Konstantinos Koulierakis,Wolfsburg,Bundesliga,Defender,0.0,0.07,0.07,0.0,0.07,0.03,0.04,0.07,0.03,0.07,20,104,8
Jules Koundé,Barcelona,La Liga,Defender,0.07,0.1,0.17,0.07,0.17,0.06,0.13,0.2,0.06,0.2,44,165,190
Mateo Kovačić,Manchester City,Premier League,Midfielder,0.25,0.08,0.33,0.25,0.33,0.08,0.15,0.23,0.08,0.23,56,164,16
Andrej Kramarić,Hoffenheim,Bundesliga,Midfielder,0.36,0.26,0.62,0.26,0.52,0.38,0.14,0.52,0.31,0.45,75,143,202
Tom Krauß,Bochum,Bundesliga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,16,84,20
Ladislav Krejčí,Girona,La Liga,Defender,0.07,0.0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,29,144,6
Rasmus Kristensen,Eint Frankfurt,Bundesliga,Defender,0.18,0.11,0.29,0.18,0.29,0.09,0.11,0.2,0.09,0.2,51,172,162
Thomas Kristensen,Udinese,Serie A,Defender,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.06,0.05,0.06,19,76,19
Victor Bernth Kristiansen,Leicester City,Premier League,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,40,70,78
Nikola Krstović,Lecce,Serie A,Attacker,0.32,0.15,0.47,0.26,0.41,0.36,0.08,0.44,0.29,0.37,42,56,149
Alex Král,Espanyol,La Liga,Midfielder,0.0,0.03,0.03,0.0,0.03,0.05,0.05,0.1,0.05,0.1,49,78,79
Frans Krätzig,Heidenheim,Bundesliga,Defender,0.07,0.15,0.22,0.07,0.22,0.05,0.13,0.18,0.05,0.18,25,37,57
Takefusa Kubo,Real Sociedad,La Liga,Midfielder,0.19,0.0,0.19,0.19,0.19,0.14,0.17,0.31,0.14,0.31,133,110,218
Mohammed Kudus,West Ham,Premier League,Attacker,0.17,0.1,0.28,0.17,0.28,0.24,0.11,0.35,0.24,0.35,98,79,216
Dejan Kulusevski,Tottenham,Premier League,Midfielder,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,120,124,210
Sael Kumbedi,Lyon,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,23,37,71
Marash Kumbulla,Espanyol,La Liga,Defender,0.09,0.0,0.09,0.09,0.09,0.05,0.0,0.06,0.05,0.06,11,71,3
Khvicha Kvaratskhelia,Napoli,Serie A,Attacker,0.38,0.23,0.61,0.31,0.53,0.32,0.28,0.6,0.26,0.54,74,57,89
Giorgos Kyriakopoulos,Monza,Serie A,Defender,0.06,0.13,0.19,0.06,0.19,0.03,0.1,0.13,0.03,0.13,67,97,132
Derrick Köhn,Werder Bremen,Bundesliga,Defender,0.13,0.13,0.27,0.13,0.27,0.05,0.11,0.16,0.05,0.16,36,39,122
Lukas Kübler,Freiburg,Bundesliga,Defender,0.24,0.05,0.29,0.24,0.29,0.13,0.04,0.17,0.13,0.17,24,78,49
Gaëtan Laborde,Nice,Ligue 1,Attacker,0.54,0.2,0.74,0.34,0.54,0.58,0.17,0.75,0.42,0.59,30,40,131
Alexandre Lacazette,Lyon,Ligue 1,Attacker,0.66,0.09,0.75,0.44,0.53,0.71,0.15,0.86,0.51,0.66,24,66,159
Maxence Lacroix,Crystal Palace,Premier League,Defender,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13,8,65,7
Mathias Pereira Lage,Brest,Ligue 1,Attacker,0.11,0.4,0.52,0.11,0.52,0.19,0.2,0.39,0.19,0.39,32,41,100
Konrad Laimer,Bayern Munich,Bundesliga,Defender,0.11,0.11,0.21,0.11,0.21,0.11,0.14,0.25,0.11,0.25,87,141,113
Kenny Lala,Brest,Ligue 1,Defender,0.1,0.07,0.17,0.0,0.07,0.1,0.14,0.24,0.02,0.17,58,138,91
Cyle Larin,Mallorca,La Liga,Attacker,0.36,0.1,0.46,0.31,0.41,0.35,0.07,0.42,0.31,0.38,20,20,95
Jørgen Strand Larsen,Wolves,Premier League,Attacker,0.49,0.14,0.63,0.49,0.63,0.36,0.1,0.46,0.36,0.46,17,29,112
Hugo Larsson,Eint Frankfurt,Bundesliga,Midfielder,0.11,0.04,0.15,0.11,0.15,0.12,0.08,0.19,0.12,0.19,16,121,33
Juanmi Latasa,Valladolid,La Liga,Attacker,0.19,0.0,0.19,0.19,0.19,0.27,0.06,0.33,0.27,0.33,3,17,40
Valentino Lazaro,Torino,Serie A,Defender,0.0,0.23,0.23,0.0,0.23,0.04,0.13,0.17,0.04,0.17,35,76,131
Darko Lazović,Hellas Verona,Serie A,Defender,0.12,0.19,0.31,0.06,0.25,0.15,0.21,0.36,0.11,0.31,22,40,88
Manuel Lazzari,Lazio,Serie A,Defender,0.0,0.06,0.06,0.0,0.06,0.01,0.08,0.09,0.01,0.09,72,66,96
Pierre Lees-Melou,Brest,Ligue 1,Midfielder,0.12,0.12,0.24,0.12,0.24,0.07,0.16,0.24,0.07,0.24,23,105,36
Jordan Lefort,Angers,Ligue 1,Defender,0.0,0.03,0.03,0.0,0.03,0.02,0.03,0.05,0.02,0.05,6,89,13
Diogo Leite,Union Berlin,Bundesliga,Defender,0.04,0.07,0.11,0.04,0.11,0.05,0.04,0.08,0.05,0.08,20,116,16
Florian Lejeune,Rayo Vallecano,La Liga,Defender,0.05,0.08,0.14,0.05,0.14,0.1,0.05,0.15,0.1,0.15,21,143,5
Félix Lemaréchal,Strasbourg,Ligue 1,Midfielder,0.2,0.15,0.35,0.2,0.35,0.18,0.15,0.32,0.18,0.32,35,58,90
Mario Lemina,Wolves,Premier League,Midfielder,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,8,48,21
Clément Lenglet,Atlético Madrid,La Liga,Defender,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16,16,79,1
Giovanni Leoni,Parma,Serie A,Defender,0.08,0.0,0.08,0.08,0.08,0.01,0.0,0.01,0.01,0.01,0,21,5
Esteban Lepaul,Angers,Ligue 1,Attacker,0.5,0.0,0.5,0.5,0.5,0.28,0.05,0.33,0.28,0.33,26,20,68
Johann Lepenant,Nantes,Ligue 1,Midfielder,0.09,0.04,0.13,0.09,0.13,0.06,0.04,0.1,0.06,0.1,25,89,62
Jefferson Lerma,Crystal Palace,Premier League,Midfielder,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,13,97,26
Robert Lewandowski,Barcelona,La Liga,Attacker,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,27,48,164
Jamie Leweling,Stuttgart,Bundesliga,Midfielder,0.11,0.11,0.22,0.11,0.22,0.08,0.21,0.29,0.08,0.29,55,51,164
Rico Lewis,Manchester City,Premier League,Defender,0.05,0.1,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08,39,107,78
Keane Lewis-Potter,Brentford,Premier League,Defender,0.03,0.09,0.12,0.03,0.12,0.09,0.09,0.18,0.09,0.18,98,98,156
Myles Lewis-Skelly,Arsenal,Premier League,Defender,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,37,71,37
Rafael Leão,Milan,Serie A,Attacker,0.31,0.31,0.62,0.31,0.62,0.29,0.32,0.62,0.29,0.62,123,93,262
Philipp Lienhart,Freiburg,Bundesliga,Defender,0.03,0.0,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.04,44,138,9
Matthijs de Ligt,Manchester Utd,Premier League,Defender,0.08,0.0,0.08,0.08,0.08,0.1,0.01,0.12,0.1,0.12,7,55,6
Jesper Lindstrøm,Everton,Premier League,Attacker,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3,30,25,81
Karol Linetty,Torino,Serie A,Midfielder,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12,18,47,19
Samuel Lino,Atlético Madrid,La Liga,Midfielder,0.17,0.23,0.41,0.17,0.41,0.35,0.17,0.52,0.35,0.52,72,73,179
Dailon Livramento,Hellas Verona,Serie A,Attacker,0.1,0.1,0.19,0.1,0.19,0.17,0.09,0.26,0.17,0.26,23,13,67
Valentino Livramento,Newcastle Utd,Premier League,Defender,0.0,0.03,0.03,0.0,0.03,0.01,0.08,0.09,0.01,0.09,83,158,119
Marcos Llorente,Atlético Madrid,La Liga,Defender,0.07,0.14,0.21,0.07,0.21,0.03,0.16,0.18,0.03,0.18,82,111,151
Diego Llorente,Betis,La Liga,Defender,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,7,81,3
Gautier Lloris,Le Havre,Ligue 1,Defender,0.07,0.03,0.1,0.07,0.1,0.04,0.03,0.07,0.04,0.07,13,99,7
Stanislav Lobotka,Napoli,Serie A,Midfielder,0.0,0.03,0.03,0.0,0.03,0.01,0.04,0.05,0.01,0.05,30,118,32
Manuel Locatelli,Juventus,Serie A,Midfielder,0.06,0.06,0.13,0.03,0.1,0.06,0.08,0.14,0.03,0.11,33,294,33
Ruben Loftus-Cheek,Milan,Serie A,Midfielder,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,27,51,32
Albert Sambi Lokonga,Sevilla,La Liga,Midfielder,0.0,0.12,0.12,0.0,0.12,0.06,0.06,0.12,0.06,0.12,24,93,20
Ademola Lookman,Atalanta,Serie A,Midfielder,0.6,0.2,0.8,0.56,0.76,0.41,0.29,0.7,0.38,0.67,142,73,316
Giovanni Di Lorenzo,Napoli,Serie A,Defender,0.08,0.05,0.14,0.08,0.14,0.08,0.1,0.18,0.08,0.18,50,224,163
Anthony Losilla,Bochum,Bundesliga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,3,45,11
Sandi Lovrić,Udinese,Serie A,Midfielder,0.08,0.12,0.19,0.08,0.19,0.1,0.13,0.24,0.1,0.24,60,120,71
Pol Lozano,Espanyol,La Liga,Midfielder,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,18,115,12
Lorenzo Lucca,Udinese,Serie A,Attacker,0.46,0.04,0.5,0.42,0.46,0.29,0.06,0.35,0.26,0.32,15,18,98
Jhon Lucumí,Bologna,Serie A,Defender,0.0,0.03,0.03,0.0,0.03,0.02,0.01,0.03,0.02,0.03,34,108,7
Romelu Lukaku,Napoli,Serie A,Attacker,0.44,0.32,0.76,0.35,0.66,0.41,0.12,0.54,0.31,0.44,31,36,219
Castello Lukeba,RB Leipzig,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,18,80,23
Dodi Lukebakio,Sevilla,La Liga,Attacker,0.32,0.06,0.38,0.29,0.35,0.29,0.13,0.42,0.27,0.4,131,93,247
Saša Lukić,Fulham,Premier League,Midfielder,0.0,0.08,0.08,0.0,0.08,0.04,0.11,0.15,0.04,0.15,39,98,33
Sebastiano Luperto,Cagliari,Serie A,Defender,0.03,0.08,0.11,0.03,0.11,0.06,0.04,0.1,0.06,0.1,22,96,11
Zito Luvumbo,Cagliari,Serie A,Attacker,0.11,0.11,0.22,0.11,0.22,0.12,0.17,0.29,0.12,0.29,70,31,125
Charalampos Lykogiannis,Bologna,Serie A,Defender,0.0,0.34,0.34,0.0,0.34,0.02,0.14,0.16,0.02,0.16,10,49,36
Senne Lynen,Werder Bremen,Bundesliga,Midfielder,0.0,0.03,0.03,0.0,0.03,0.04,0.02,0.06,0.04,0.06,9,91,28
Unai López,Rayo Vallecano,La Liga,Midfielder,0.16,0.05,0.21,0.16,0.21,0.08,0.05,0.14,0.08,0.14,22,112,40
Diego López,Valencia,La Liga,Midfielder,0.26,0.16,0.43,0.26,0.43,0.22,0.17,0.38,0.22,0.38,76,85,219
David López,Girona,La Liga,Defender,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.06,0.03,0.06,17,132,7
Fermin López,Barcelona,La Liga,Midfielder,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69,31,79,108
Javi López,Real Sociedad,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,36,73,64
Ian Maatsen,Aston Villa,Premier League,Defender,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28,31,50,104
Deiver Machado,Lens,Ligue 1,Defender,0.05,0.2,0.25,0.05,0.25,0.11,0.1,0.22,0.11,0.22,42,45,80
Shuto Machino,Holstein Kiel,Bundesliga,Attacker,0.51,0.09,0.6,0.41,0.51,0.3,0.14,0.44,0.23,0.36,30,59,108
James Maddison,Tottenham,Premier League,Midfielder,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,45,164,95
Noni Madueke,Chelsea,Premier League,Attacker,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61,154,69,226
Pablo Maffeo,Mallorca,La Liga,Defender,0.0,0.08,0.08,0.0,0.08,0.01,0.16,0.17,0.01,0.17,46,74,122
Gabriel Magalhães,Arsenal,Premier League,Defender,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,10,126,11
Soungoutou Magassa,Monaco,Ligue 1,Midfielder,0.0,0.09,0.09,0.0,0.09,0.04,0.08,0.12,0.04,0.12,6,63,11
Giangiacomo Magnani,Hellas Verona,Serie A,Defender,0.08,0.0,0.08,0.08,0.08,0.1,0.0,0.1,0.1,0.1,4,31,7
Hugo Magnetti,Brest,Ligue 1,Midfielder,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,21,80,20
Frank Magri,Toulouse,Ligue 1,Attacker,0.3,0.06,0.36,0.3,0.36,0.36,0.09,0.45,0.36,0.45,17,25,80
Harry Maguire,Manchester Utd,Premier League,Defender,0.05,0.0,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.12,7,51,7
Arne Maier,Augsburg,Bundesliga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.29,0.15,0.29,19,44,56
Patrick Mainka,Heidenheim,Bundesliga,Defender,0.03,0.03,0.06,0.03,0.06,0.06,0.01,0.07,0.06,0.07,21,102,12
Kobbie Mainoo,Manchester Utd,Premier League,Midfielder,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.12,0.04,0.12,22,65,47
Ainsley Maitland-Niles,Lyon,Ligue 1,Defender,0.05,0.18,0.23,0.05,0.23,0.13,0.16,0.29,0.13,0.29,33,102,110
Antoine Makoumbou,Cagliari,Serie A,Midfielder,0.0,0.13,0.13,0.0,0.13,0.01,0.04,0.05,0.01,0.05,11,92,14
Daniel Maldini,Monza,Serie A,Midfielder,0.21,0.0,0.21,0.21,0.21,0.33,0.06,0.39,0.33,0.39,41,34,66
Youssef Maleh,Empoli,Serie A,Midfielder,0.0,0.06,0.06,0.0,0.06,0.05,0.05,0.1,0.05,0.1,10,72,37
Dennis Man,Parma,Serie A,Attacker,0.18,0.18,0.36,0.18,0.36,0.25,0.19,0.44,0.25,0.44,67,60,142
Gianluca Mancini,Roma,Serie A,Defender,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,45,139,23
Reinildo Mandava,Atlético Madrid,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,14,34,15
Aïssa Mandi,Lille,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,12,82,21
Rolando Mandragora,Fiorentina,Serie A,Midfielder,0.19,0.14,0.33,0.14,0.28,0.12,0.22,0.35,0.09,0.31,11,92,34
Orel Mangala,Everton,Premier League,Midfielder,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,6,34,19
Ryan Manning,Southampton,Premier League,Defender,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,14,35,74
Óscar de Marcos,Athletic Club,La Liga,Defender,0.0,0.23,0.23,0.0,0.23,0.06,0.15,0.21,0.06,0.21,26,102,78
Luca Marianucci,Empoli,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,12,28,3
Răzvan Marin,Cagliari,Serie A,Midfielder,0.19,0.13,0.32,0.06,0.19,0.15,0.23,0.39,0.05,0.29,22,84,29
Guillermo Maripán,Torino,Serie A,Defender,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.08,0.04,0.08,14,96,9
Omar Marmoush,Eint Frankfurt,Bundesliga,Attacker,0.93,0.56,1.49,0.81,1.37,0.55,0.39,0.94,0.45,0.84,73,50,125
Marquinhos,Paris S-G,Ligue 1,Defender,0.1,0.0,0.1,0.1,0.1,0.06,0.04,0.1,0.06,0.1,29,151,4
Jon Martin,Real Sociedad,La Liga,Defender,0.0,0.1,0.1,0.0,0.1,0.06,0.02,0.08,0.06,0.08,4,34,0
Gabriel Martinelli,Arsenal,Premier League,Attacker,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,124,52,289
Arnau Martinez,Girona,La Liga,Defender,0.07,0.07,0.14,0.07,0.14,0.04,0.08,0.12,0.04,0.12,41,162,102
Aarón Martín,Genoa,Serie A,Defender,0.0,0.23,0.23,0.0,0.23,0.03,0.16,0.19,0.03,0.19,50,90,108
Iván Martín,Girona,La Liga,Midfielder,0.04,0.04,0.09,0.04,0.09,0.08,0.08,0.16,0.08,0.16,57,131,76
Carlos Martín,Alavés,La Liga,Attacker,0.14,0.14,0.27,0.14,0.27,0.15,0.19,0.34,0.15,0.34,13,21,67
Mario Martín,Valladolid,La Liga,Midfielder,0.0,0.05,0.05,0.0,0.05,0.09,0.07,0.16,0.09,0.16,18,66,22
Gerard Martín,Barcelona,La Liga,Defender,0.09,0.26,0.35,0.09,0.35,0.04,0.1,0.14,0.04,0.14,10,40,122
Iñigo Martínez,Barcelona,La Liga,Defender,0.0,0.14,0.14,0.0,0.14,0.02,0.1,0.11,0.02,0.11,70,260,11
Lautaro Martínez,Inter,Serie A,Attacker,0.42,0.11,0.53,0.42,0.53,0.47,0.15,0.62,0.47,0.62,34,68,197
Lisandro Martínez,Manchester Utd,Premier League,Defender,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,23,117,7
Toni Martínez,Alavés,La Liga,Attacker,0.36,0.0,0.36,0.36,0.36,0.32,0.05,0.37,0.32,0.37,13,11,57
Adam Marušić,Lazio,Serie A,Defender,0.15,0.0,0.15,0.15,0.15,0.08,0.02,0.1,0.08,0.1,23,84,108
Marvin,Las Palmas,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,29,30,72
Pablo Marí,Monza,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,5,58,1
Pablo Marín,Real Sociedad,La Liga,Midfielder,0.07,0.15,0.22,0.07,0.22,0.1,0.07,0.17,0.1,0.17,20,45,47
Omar Mascarell,Mallorca,La Liga,Midfielder,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,10,75,12
Adam Masina,Torino,Serie A,Defender,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,15,73,10
Patrizio Masini,Genoa,Serie A,Midfielder,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,16,44,27
Giorgos Masouras,Bochum,Bundesliga,Attacker,0.17,0.09,0.26,0.17,0.26,0.33,0.09,0.43,0.33,0.43,26,19,82
Han-Noah Massengo,Auxerre,Ligue 1,Midfielder,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,13,28,13
Clinton Mata,Lyon,Ligue 1,Defender,0.0,0.15,0.15,0.0,0.15,0.01,0.05,0.06,0.01,0.06,20,88,23
Jean-Philippe Mateta,Crystal Palace,Premier League,Attacker,0.48,0.07,0.54,0.41,0.48,0.46,0.11,0.57,0.41,0.51,45,52,122
Nemanja Matić,Lyon,Ligue 1,Midfielder,0.0,0.04,0.04,0.0,0.04,0.0,0.06,0.06,0.0,0.06,35,150,15
Chrislain Matsima,Augsburg,Bundesliga,Defender,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.07,0.06,0.07,14,84,13
Alan Matturro,Genoa,Serie A,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,12,15,9
Azor Matusiwa,Rennes,Ligue 1,Midfielder,0.04,0.13,0.17,0.04,0.17,0.05,0.08,0.13,0.05,0.13,19,134,26
Neal Maupay,Marseille,Ligue 1,Attacker,0.35,0.35,0.69,0.35,0.69,0.36,0.19,0.54,0.36,0.54,12,37,81
Stephy Mavididi,Leicester City,Premier League,Attacker,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,91,57,138
Konstantinos Mavropanos,West Ham,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,17,61,2
Christian Mawissa,Monaco,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,13,44,10
Borja Mayoral,Getafe,La Liga,Attacker,0.4,0.08,0.48,0.32,0.4,0.28,0.07,0.35,0.21,0.29,10,13,43
Noussair Mazraoui,Manchester Utd,Premier League,Defender,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,42,115,58
Erhan Mašović,Bochum,Bundesliga,Defender,0.1,0.1,0.2,0.1,0.2,0.06,0.09,0.15,0.06,0.15,1,35,4
Kylian Mbappé,Real Madrid,La Liga,Attacker,0.96,0.09,1.05,0.74,0.84,0.8,0.24,1.04,0.58,0.81,150,140,386
Bryan Mbeumo,Brentford,Premier League,Attacker,0.53,0.18,0.71,0.4,0.58,0.32,0.22,0.54,0.2,0.42,130,141,351
Oliver McBurnie,Las Palmas,La Liga,Attacker,0.15,0.29,0.44,0.15,0.44,0.24,0.14,0.37,0.24,0.37,7,27,75
John McGinn,Aston Villa,Premier League,Midfielder,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26,32,103,87
Scott McKenna,Las Palmas,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,11,45,3
Weston McKennie,Juventus,Serie A,Midfielder,0.08,0.16,0.23,0.08,0.23,0.11,0.14,0.25,0.11,0.25,28,101,153
Mark McKenzie,Toulouse,Ligue 1,Defender,0.04,0.04,0.07,0.04,0.07,0.05,0.02,0.07,0.05,0.07,10,97,5
Dwight McNeil,Everton,Premier League,Midfielder,0.26,0.39,0.66,0.26,0.66,0.07,0.34,0.41,0.07,0.41,38,69,80
Scott McTominay,Napoli,Serie A,Midfielder,0.37,0.12,0.49,0.37,0.49,0.23,0.08,0.31,0.23,0.31,56,112,131
Facundo Medina,Lens,Ligue 1,Defender,0.0,0.04,0.04,0.0,0.04,0.06,0.07,0.13,0.06,0.13,46,174,42
Jakov Medić,Bochum,Bundesliga,Defender,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,2,27,3
Farid El Melali,Angers,Ligue 1,Attacker,0.1,0.14,0.24,0.1,0.24,0.17,0.15,0.32,0.17,0.32,62,43,113
Arthur Melo,Girona,La Liga,Midfielder,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,24,70,17
Nuno Mendes,Paris S-G,Ligue 1,Defender,0.05,0.16,0.21,0.05,0.21,0.12,0.27,0.39,0.12,0.39,58,127,108
Ferland Mendy,Real Madrid,La Liga,Defender,0.0,0.09,0.09,0.0,0.09,0.0,0.05,0.05,0.0,0.05,12,36,40
Gideon Mensah,Auxerre,Ligue 1,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11,52,93,101
Mikel Merino,Arsenal,Premier League,Midfielder,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,11,69,94
Quentin Merlin,Marseille,Ligue 1,Defender,0.06,0.17,0.23,0.06,0.23,0.12,0.17,0.28,0.12,0.28,40,86,169
Karol Mets,St. Pauli,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,5,54,2
Thomas Meunier,Lille,Ligue 1,Defender,0.09,0.0,0.09,0.09,0.09,0.09,0.03,0.12,0.09,0.12,64,136,148
Miguel,Leganés,La Liga,Attacker,0.05,0.16,0.21,0.0,0.16,0.26,0.07,0.33,0.17,0.25,14,16,90
Valentin Mihaila,Parma,Serie A,Attacker,0.0,0.21,0.21,0.0,0.21,0.17,0.08,0.25,0.17,0.25,25,41,72
Georges Mikautadze,Lyon,Ligue 1,Attacker,0.68,0.37,1.06,0.5,0.87,0.64,0.27,0.91,0.44,0.71,37,54,140
Nikola Milenković,Nott'ham Forest,Premier League,Defender,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,3,51,6
Éder Militão,Real Madrid,La Liga,Defender,0.1,0.1,0.19,0.1,0.19,0.06,0.05,0.11,0.06,0.11,7,46,1
Luis Milla,Getafe,La Liga,Midfielder,0.03,0.13,0.16,0.0,0.13,0.06,0.12,0.18,0.03,0.15,32,152,30
Enzo Millot,Stuttgart,Bundesliga,Midfielder,0.29,0.24,0.54,0.29,0.54,0.37,0.15,0.52,0.33,0.48,44,118,123
Kim Min-jae,Bayern Munich,Bundesliga,Defender,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08,16,181,5
Yerry Mina,Cagliari,Serie A,Defender,0.04,0.0,0.04,0.04,0.04,0.08,0.01,0.09,0.08,0.09,17,76,9
Takumi Minamino,Monaco,Ligue 1,Midfielder,0.24,0.12,0.36,0.24,0.36,0.36,0.26,0.62,0.36,0.62,51,114,193
Tyrone Mings,Aston Villa,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,7,40,1
Óscar Mingueza,Celta Vigo,La Liga,Midfielder,0.13,0.2,0.33,0.13,0.33,0.05,0.19,0.23,0.05,0.23,69,200,194
Yankuba Minteh,Brighton,Premier League,Attacker,0.29,0.2,0.49,0.29,0.49,0.2,0.24,0.44,0.2,0.44,90,48,201
Juan Miranda,Bologna,Serie A,Defender,0.0,0.24,0.24,0.0,0.24,0.03,0.24,0.27,0.03,0.27,34,163,88
Fabio Miretti,Genoa,Serie A,Midfielder,0.16,0.16,0.32,0.16,0.32,0.17,0.11,0.27,0.17,0.27,33,54,100
Tyrick Mitchell,Crystal Palace,Premier League,Defender,0.0,0.15,0.15,0.0,0.15,0.04,0.19,0.22,0.04,0.22,63,70,171
Kaoru Mitoma,Brighton,Premier League,Attacker,0.35,0.14,0.48,0.35,0.48,0.32,0.16,0.48,0.32,0.48,146,89,291
Maximilian Mittelstädt,Stuttgart,Bundesliga,Defender,0.04,0.26,0.29,0.04,0.29,0.03,0.17,0.2,0.03,0.2,62,182,155
